review_id,customer_id,product_id,rating,review_text,review_date
1,1,321,1,Customer 1 reviewed product Pet Travel Litter Box with a rating of 1,
2,32,142,4,Customer 32 reviewed product 4K Streaming Device with a rating of 1,
3,79,98,4,Customer 79 reviewed product Water Bottle with a rating of 3,
4,9,311,4,Customer 9 reviewed product Pet Travel Bowl with a rating of 2,
5,96,56,2,Customer 96 reviewed product Necklace with a rating of 4,
6,41,87,4,Customer 41 reviewed product Camping Gear with a rating of 4,
7,3,245,5,Customer 3 reviewed product Indoor Plant with a rating of 2,
8,8,152,3,Customer 8 reviewed product Yoga Block with a rating of 5,
9,88,217,4,Customer 88 reviewed product Bird Bath with a rating of 5,
10,1,73,3,Customer 1 reviewed product Reptile Habitat with a rating of 4,
11,17,92,3,Customer 17 reviewed product Boxing Gloves with a rating of 4,
12,4,104,2,Customer 4 reviewed product Snorkeling Gear with a rating of 5,
13,133,301,4,Customer 133 reviewed product Cat Treats with a rating of 4,
14,73,88,1,Customer 73 reviewed product Hiking Boots with a rating of 4,
15,11,264,4,Customer 11 reviewed product Pet Toys with a rating of 5,
16,130,171,3,Customer 130 reviewed product Baking Set with a rating of 1,
17,76,32,2,Customer 76 reviewed product Vacuum Cleaner with a rating of 1,
18,50,115,4,Customer 50 reviewed product Soil Bags with a rating of 4,
19,1,62,4,Customer 1 reviewed product High Chair with a rating of 3,
20,1,90,4,Customer 1 reviewed product Golf Clubs with a rating of 4,
21,106,222,2,Customer 106 reviewed product Compost Bin with a rating of 4,
22,44,135,5,Customer 44 reviewed product Smart Light Bulb with a rating of 1,
23,95,250,1,Customer 95 reviewed product Bookends with a rating of 2,
24,140,111,5,Customer 140 reviewed product Fertilizer with a rating of 5,
25,19,143,3,Customer 19 reviewed product Home Theater System with a rating of 2,
26,73,65,1,Customer 73 reviewed product Baby Clothes with a rating of 2,
27,87,93,5,Customer 87 reviewed product Gym Bag with a rating of 1,
28,100,147,2,Customer 100 reviewed product Fitness Tracker with a rating of 1,
29,40,207,5,Customer 40 reviewed product Picnic Table with a rating of 5,
30,19,122,2,Customer 19 reviewed product Grill with a rating of 1,
31,106,67,3,Customer 106 reviewed product Dog Bed with a rating of 2,
32,58,176,5,Customer 58 reviewed product Dehumidifier with a rating of 1,
33,10,72,1,Customer 10 reviewed product Bird Cage with a rating of 2,
34,3,110,5,Customer 3 reviewed product Seeds Pack with a rating of 2,
35,7,321,4,Customer 7 reviewed product Pet Travel Litter Box with a rating of 4,
36,82,17,1,Customer 82 reviewed product Hair Dryer with a rating of 4,
37,133,43,3,Customer 133 reviewed product T-shirt with a rating of 5,
38,30,98,5,Customer 30 reviewed product Water Bottle with a rating of 5,
39,46,200,2,Customer 46 reviewed product Portable Dishwasher with a rating of 3,
40,135,105,1,Customer 135 reviewed product Kayak with a rating of 1,
41,13,18,4,Customer 13 reviewed product Face Mask with a rating of 2,
42,6,145,5,Customer 6 reviewed product Home Massage Chair with a rating of 3,
43,59,270,4,Customer 59 reviewed product Dog House with a rating of 2,
44,92,33,5,Customer 92 reviewed product Air Conditioner with a rating of 1,
45,9,123,3,Customer 9 reviewed product Deck Chair with a rating of 2,
46,105,299,5,Customer 105 reviewed product Small Animal Food with a rating of 1,
47,44,81,4,Customer 44 reviewed product Motherboard with a rating of 1,
48,62,192,5,Customer 62 reviewed product Sound Bar with a rating of 3,
49,1,302,5,Customer 1 reviewed product Dog Training Treats with a rating of 5,
50,43,65,3,Customer 43 reviewed product Baby Clothes with a rating of 2,
51,8,211,3,Customer 8 reviewed product Garden Trellis with a rating of 1,
52,82,72,2,Customer 82 reviewed product Bird Cage with a rating of 3,
53,72,306,3,Customer 72 reviewed product Pet Travel Carrier with a rating of 3,
54,39,142,2,Customer 39 reviewed product 4K Streaming Device with a rating of 5,
55,56,101,2,Customer 56 reviewed product Billiards Table with a rating of 1,
56,37,158,1,Customer 37 reviewed product Portable Blender with a rating of 4,
57,18,190,2,Customer 18 reviewed product Wireless Charging Pad with a rating of 4,
58,12,75,5,Customer 12 reviewed product Digital Photo Frame with a rating of 2,
59,101,126,3,Customer 101 reviewed product Hammock with a rating of 1,
60,103,154,1,Customer 103 reviewed product Sports Watch with a rating of 3,
61,3,199,2,Customer 3 reviewed product Electric Oven with a rating of 4,
62,30,265,1,Customer 30 reviewed product Pet Food Bowls with a rating of 5,
63,137,279,5,Customer 137 reviewed product Pet Shampoo with a rating of 5,
64,9,310,1,Customer 9 reviewed product Pet Bird Toys with a rating of 3,
65,61,230,2,Customer 61 reviewed product Outdoor Fire Pit with a rating of 4,
66,84,85,3,Customer 84 reviewed product Tennis Racket with a rating of 4,
67,128,116,1,Customer 128 reviewed product Bird Feeder with a rating of 1,
68,19,298,1,Customer 19 reviewed product Tropical Fish Food with a rating of 3,
69,21,204,4,Customer 21 reviewed product Pressure Washer with a rating of 3,
70,7,132,1,Customer 7 reviewed product Camping Hammock with a rating of 1,
71,12,314,3,Customer 12 reviewed product Pet Cooling Bed with a rating of 3,
72,68,119,4,Customer 68 reviewed product Garden Bench with a rating of 3,
73,133,44,4,Customer 133 reviewed product Jeans with a rating of 2,
74,3,91,3,Customer 3 reviewed product Skateboard with a rating of 4,
75,121,310,5,Customer 121 reviewed product Pet Bird Toys with a rating of 3,
76,9,213,1,Customer 9 reviewed product Garden Swing with a rating of 3,
77,77,204,4,Customer 77 reviewed product Pressure Washer with a rating of 2,
78,142,317,3,Customer 142 reviewed product Pet Toothpaste with a rating of 2,
79,46,221,1,Customer 46 reviewed product Weed Puller with a rating of 3,
80,3,118,5,Customer 3 reviewed product Patio Furniture Set with a rating of 5,
81,71,54,5,Customer 71 reviewed product Belt with a rating of 3,
82,68,109,3,Customer 68 reviewed product Garden Tools with a rating of 3,
83,1,188,4,Customer 1 reviewed product Emergency Lantern with a rating of 5,
84,53,311,5,Customer 53 reviewed product Pet Travel Bowl with a rating of 4,
85,104,124,2,Customer 104 reviewed product Outdoor Lighting with a rating of 4,
86,6,160,2,Customer 6 reviewed product Portable Steam Iron with a rating of 2,
87,4,12,4,Customer 4 reviewed product VR Headset with a rating of 5,
88,1,77,5,Customer 1 reviewed product Action Camera with a rating of 4,
89,16,34,3,Customer 16 reviewed product Electric Kettle with a rating of 5,
90,1,90,4,Customer 1 reviewed product Golf Clubs with a rating of 2,
91,17,118,3,Customer 17 reviewed product Patio Furniture Set with a rating of 2,
92,1,205,5,Customer 1 reviewed product Garden Tiller with a rating of 1,
93,1,86,4,Customer 1 reviewed product Surfboard with a rating of 1,
94,12,215,3,Customer 12 reviewed product Umbrella Stand with a rating of 5,
95,3,100,5,Customer 3 reviewed product Electric Skateboard with a rating of 3,
96,2,150,3,Customer 2 reviewed product Massage Gun with a rating of 3,
97,7,249,2,Customer 7 reviewed product Candles with a rating of 4,
98,10,302,2,Customer 10 reviewed product Dog Training Treats with a rating of 4,
99,12,44,2,Customer 12 reviewed product Jeans with a rating of 5,
100,6,85,3,Customer 6 reviewed product Tennis Racket with a rating of 5,
101,8,67,4,Customer 8 reviewed product Dog Bed with a rating of 2,
102,18,180,5,Customer 18 reviewed product Deep Fryer with a rating of 3,
103,6,102,2,Customer 6 reviewed product Foosball Table with a rating of 4,
104,3,194,2,Customer 3 reviewed product Home Gym Equipment with a rating of 2,
105,1,56,1,Customer 1 reviewed product Necklace with a rating of 4,
106,1,121,4,Customer 1 reviewed product Fire Pit with a rating of 1,
107,4,250,2,Customer 4 reviewed product Bookends with a rating of 3,
108,13,300,4,Customer 13 reviewed product Pet Playpen with a rating of 2,
109,5,182,3,Customer 5 reviewed product Wine Cooler with a rating of 3,
110,3,120,2,Customer 3 reviewed product Umbrella with a rating of 4,
111,5,44,1,Customer 5 reviewed product Jeans with a rating of 2,
112,20,248,1,Customer 20 reviewed product Wall Clock with a rating of 2,
113,9,160,1,Customer 9 reviewed product Portable Steam Iron with a rating of 3,
114,7,302,1,Customer 7 reviewed product Dog Training Treats with a rating of 4,
115,2,300,5,Customer 2 reviewed product Pet Playpen with a rating of 1,
116,16,17,3,Customer 16 reviewed product Hair Dryer with a rating of 1,
117,8,54,2,Customer 8 reviewed product Belt with a rating of 4,
118,1,299,1,Customer 1 reviewed product Small Animal Food with a rating of 3,
119,2,215,5,Customer 2 reviewed product Umbrella Stand with a rating of 4,
120,1,149,5,Customer 1 reviewed product First Aid Kit with a rating of 2,
121,5,80,3,Customer 5 reviewed product Graphics Card with a rating of 5,
122,3,35,4,Customer 3 reviewed product Dining Set with a rating of 4,
123,17,115,4,Customer 17 reviewed product Soil Bags with a rating of 2,
124,4,260,5,Customer 4 reviewed product Chalkboard with a rating of 3,
125,1,88,4,Customer 1 reviewed product Hiking Boots with a rating of 5,
126,15,223,2,Customer 15 reviewed product Rain Gauge with a rating of 4,
127,7,299,3,Customer 7 reviewed product Small Animal Food with a rating of 3,
128,13,197,5,Customer 13 reviewed product 4K TV with a rating of 4,
129,7,89,3,Customer 7 reviewed product Fishing Tackle with a rating of 5,
130,1,250,4,Customer 1 reviewed product Bookends with a rating of 5,
131,13,152,5,Customer 13 reviewed product Yoga Block with a rating of 5,
132,1,36,5,Customer 1 reviewed product Sofa with a rating of 3,
133,19,276,3,Customer 19 reviewed product Hamster Wheel with a rating of 2,
134,18,140,4,Customer 18 reviewed product Smart Plug with a rating of 2,
135,11,130,5,Customer 11 reviewed product Pool Float with a rating of 2,
136,10,305,3,Customer 10 reviewed product Fish Tank Plants with a rating of 4,
137,2,114,4,Customer 2 reviewed product Wheelbarrow with a rating of 5,
138,14,165,2,Customer 14 reviewed product Smart Thermos with a rating of 2,
139,21,62,2,Customer 21 reviewed product High Chair with a rating of 3,
140,1,98,5,Customer 1 reviewed product Water Bottle with a rating of 5,
141,6,148,3,Customer 6 reviewed product Blood Pressure Monitor with a rating of 2,
142,10,240,4,Customer 10 reviewed product Greenhouse Kit with a rating of 2,
143,4,43,1,Customer 4 reviewed product T-shirt with a rating of 4,
144,14,167,5,Customer 14 reviewed product Instant Pot with a rating of 3,
145,1,195,2,Customer 1 reviewed product Smart Doorbell with a rating of 3,
146,1,299,5,Customer 1 reviewed product Small Animal Food with a rating of 5,
147,22,113,5,Customer 22 reviewed product Rake with a rating of 5,
148,23,74,3,Customer 23 reviewed product Smart Speaker with a rating of 3,
149,20,200,2,Customer 20 reviewed product Portable Dishwasher with a rating of 4,
150,8,22,2,Customer 8 reviewed product Bicycle with a rating of 1,
151,1,192,3,Customer 1 reviewed product Sound Bar with a rating of 3,
152,3,281,2,Customer 3 reviewed product Reptile Tank with a rating of 1,
153,5,123,5,Customer 5 reviewed product Deck Chair with a rating of 2,
154,13,313,2,Customer 13 reviewed product Pet Carrier for Small Animals with a rating of 5,
155,8,99,2,Customer 8 reviewed product Portable Grill with a rating of 4,
156,4,201,2,Customer 4 reviewed product Smart Coffee Maker with a rating of 3,
157,12,80,4,Customer 12 reviewed product Graphics Card with a rating of 5,
158,20,163,1,Customer 20 reviewed product Slow Cooker with a rating of 5,
159,1,272,2,Customer 1 reviewed product Aquarium Decor with a rating of 1,
160,12,23,1,Customer 12 reviewed product Camping Tent with a rating of 5,
161,8,139,1,Customer 8 reviewed product Smart Thermostat with a rating of 4,
162,14,30,5,Customer 14 reviewed product Refrigerator with a rating of 2,
163,11,264,2,Customer 11 reviewed product Pet Toys with a rating of 2,
164,13,207,2,Customer 13 reviewed product Picnic Table with a rating of 2,
165,5,82,2,Customer 5 reviewed product Mobile Case with a rating of 1,
166,9,275,2,Customer 9 reviewed product Small Animal Cage with a rating of 5,
167,2,197,3,Customer 2 reviewed product 4K TV with a rating of 2,
168,18,119,2,Customer 18 reviewed product Garden Bench with a rating of 2,
169,5,45,4,Customer 5 reviewed product Jacket with a rating of 3,
170,8,167,5,Customer 8 reviewed product Instant Pot with a rating of 2,
171,10,99,3,Customer 10 reviewed product Portable Grill with a rating of 2,
172,7,202,5,Customer 7 reviewed product Electric Wok with a rating of 1,
173,21,146,4,Customer 21 reviewed product Digital Scale with a rating of 2,
174,1,310,1,Customer 1 reviewed product Pet Bird Toys with a rating of 3,
175,9,163,2,Customer 9 reviewed product Slow Cooker with a rating of 3,
176,17,200,3,Customer 17 reviewed product Portable Dishwasher with a rating of 3,
177,2,87,2,Customer 2 reviewed product Camping Gear with a rating of 5,
178,11,129,1,Customer 11 reviewed product Patio Heater with a rating of 1,
179,13,193,3,Customer 13 reviewed product Smart TV with a rating of 4,
180,6,40,3,Customer 6 reviewed product Coffee Table with a rating of 5,
181,15,277,2,Customer 15 reviewed product Pet Cooling Mat with a rating of 4,
182,3,53,1,Customer 3 reviewed product Sunglasses with a rating of 5,
183,4,12,4,Customer 4 reviewed product VR Headset with a rating of 1,
184,3,31,4,Customer 3 reviewed product Washing Machine with a rating of 1,
185,4,110,5,Customer 4 reviewed product Seeds Pack with a rating of 3,
186,23,89,1,Customer 23 reviewed product Fishing Tackle with a rating of 1,
187,14,95,4,Customer 14 reviewed product Kettlebell with a rating of 3,
188,1,91,5,Customer 1 reviewed product Skateboard with a rating of 1,
189,20,36,4,Customer 20 reviewed product Sofa with a rating of 5,
190,1,186,3,Customer 1 reviewed product LED Strip Lights with a rating of 1,
191,7,154,4,Customer 7 reviewed product Sports Watch with a rating of 2,
192,18,173,5,Customer 18 reviewed product Butter Churner with a rating of 4,
193,1,110,1,Customer 1 reviewed product Seeds Pack with a rating of 1,
194,10,292,1,Customer 10 reviewed product Pet Bed for Cats with a rating of 1,
195,1,50,4,Customer 1 reviewed product Sweater with a rating of 5,
196,16,303,4,Customer 16 reviewed product Pet Nail Clipper with a rating of 4,
197,6,270,2,Customer 6 reviewed product Dog House with a rating of 4,
198,11,117,2,Customer 11 reviewed product Composter with a rating of 5,
199,9,224,2,Customer 9 reviewed product Pest Control Spray with a rating of 1,
200,22,74,3,Customer 22 reviewed product Smart Speaker with a rating of 2,
201,21,101,4,Customer 21 reviewed product Billiards Table with a rating of 3,
202,21,55,3,Customer 21 reviewed product Handbag with a rating of 1,
203,21,305,1,Customer 21 reviewed product Fish Tank Plants with a rating of 3,
204,8,45,3,Customer 8 reviewed product Jacket with a rating of 5,
205,8,150,3,Customer 8 reviewed product Massage Gun with a rating of 5,
206,8,200,4,Customer 8 reviewed product Portable Dishwasher with a rating of 5,
207,1,98,1,Customer 1 reviewed product Water Bottle with a rating of 3,
208,1,65,5,Customer 1 reviewed product Baby Clothes with a rating of 4,
209,1,130,2,Customer 1 reviewed product Pool Float with a rating of 2,
210,9,78,3,Customer 9 reviewed product Gaming Mouse with a rating of 4,
211,9,101,3,Customer 9 reviewed product Billiards Table with a rating of 5,
212,9,23,1,Customer 9 reviewed product Camping Tent with a rating of 1,
213,10,17,5,Customer 10 reviewed product Hair Dryer with a rating of 1,
214,10,33,4,Customer 10 reviewed product Air Conditioner with a rating of 2,
215,11,201,4,Customer 11 reviewed product Smart Coffee Maker with a rating of 3,
216,11,175,2,Customer 11 reviewed product Air Purifier with a rating of 4,
217,11,56,3,Customer 11 reviewed product Necklace with a rating of 4,
218,12,89,1,Customer 12 reviewed product Fishing Tackle with a rating of 4,
219,12,102,5,Customer 12 reviewed product Foosball Table with a rating of 4,
220,12,234,4,Customer 12 reviewed product Weed Eater with a rating of 1,
221,1,150,5,Customer 1 reviewed product Massage Gun with a rating of 5,
222,1,78,3,Customer 1 reviewed product Gaming Mouse with a rating of 3,
223,1,66,3,Customer 1 reviewed product Pet Food with a rating of 4,
224,22,101,5,Customer 22 reviewed product Billiards Table with a rating of 3,
225,22,220,5,Customer 22 reviewed product Decorative Stones with a rating of 3,
226,2,167,5,Customer 2 reviewed product Instant Pot with a rating of 3,
227,2,110,4,Customer 2 reviewed product Seeds Pack with a rating of 2,
228,2,43,5,Customer 2 reviewed product T-shirt with a rating of 4,
229,6,150,1,Customer 6 reviewed product Massage Gun with a rating of 5,
230,6,220,2,Customer 6 reviewed product Decorative Stones with a rating of 5,
231,6,303,2,Customer 6 reviewed product Pet Nail Clipper with a rating of 3,
232,3,33,2,Customer 3 reviewed product Air Conditioner with a rating of 4,
233,3,78,3,Customer 3 reviewed product Gaming Mouse with a rating of 5,
234,13,201,1,Customer 13 reviewed product Smart Coffee Maker with a rating of 1,
235,13,56,1,Customer 13 reviewed product Necklace with a rating of 2,
236,13,87,5,Customer 13 reviewed product Camping Gear with a rating of 5,
237,14,201,5,Customer 14 reviewed product Smart Coffee Maker with a rating of 5,
238,14,28,5,Customer 14 reviewed product Blender with a rating of 3,
239,14,120,1,Customer 14 reviewed product Umbrella with a rating of 3,
240,7,110,3,Customer 7 reviewed product Seeds Pack with a rating of 1,
241,7,201,4,Customer 7 reviewed product Smart Coffee Maker with a rating of 1,
242,7,33,3,Customer 7 reviewed product Air Conditioner with a rating of 4,
243,15,210,2,Customer 15 reviewed product Metal Garden Edging with a rating of 1,
244,15,150,1,Customer 15 reviewed product Massage Gun with a rating of 1,
245,16,303,1,Customer 16 reviewed product Pet Nail Clipper with a rating of 2,
246,16,100,3,Customer 16 reviewed product Electric Skateboard with a rating of 3,
247,16,40,3,Customer 16 reviewed product Coffee Table with a rating of 2,
248,1,111,4,Customer 1 reviewed product Fertilizer with a rating of 3,
249,1,190,5,Customer 1 reviewed product Wireless Charging Pad with a rating of 3,
250,17,190,1,Customer 17 reviewed product Wireless Charging Pad with a rating of 5,
251,17,67,5,Customer 17 reviewed product Dog Bed with a rating of 3,
252,4,210,2,Customer 4 reviewed product Metal Garden Edging with a rating of 1,
253,4,103,5,Customer 4 reviewed product Dart Board with a rating of 1,
254,4,78,2,Customer 4 reviewed product Gaming Mouse with a rating of 2,
255,18,205,5,Customer 18 reviewed product Garden Tiller with a rating of 5,
256,18,101,1,Customer 18 reviewed product Billiards Table with a rating of 5,
257,18,205,4,Customer 18 reviewed product Garden Tiller with a rating of 2,
258,19,99,5,Customer 19 reviewed product Portable Grill with a rating of 1,
259,19,212,1,Customer 19 reviewed product Garden Fountain with a rating of 1,
260,19,303,4,Customer 19 reviewed product Pet Nail Clipper with a rating of 4,
261,20,65,5,Customer 20 reviewed product Baby Clothes with a rating of 3,
262,20,201,4,Customer 20 reviewed product Smart Coffee Maker with a rating of 3,
263,20,100,4,Customer 20 reviewed product Electric Skateboard with a rating of 4,
264,1,90,3,Customer 1 reviewed product Golf Clubs with a rating of 4,
265,1,67,4,Customer 1 reviewed product Dog Bed with a rating of 2,
266,1,40,1,Customer 1 reviewed product Coffee Table with a rating of 2,
267,21,150,3,Customer 21 reviewed product Massage Gun with a rating of 2,
268,21,202,3,Customer 21 reviewed product Electric Wok with a rating of 1,
269,21,190,2,Customer 21 reviewed product Wireless Charging Pad with a rating of 1,
270,2,303,1,Customer 2 reviewed product Pet Nail Clipper with a rating of 2,
271,2,201,5,Customer 2 reviewed product Smart Coffee Maker with a rating of 5,
272,2,99,1,Customer 2 reviewed product Portable Grill with a rating of 2,
273,6,150,5,Customer 6 reviewed product Massage Gun with a rating of 2,
274,6,90,2,Customer 6 reviewed product Golf Clubs with a rating of 1,
275,6,120,1,Customer 6 reviewed product Umbrella with a rating of 5,
276,7,200,5,Customer 7 reviewed product Portable Dishwasher with a rating of 2,
277,7,45,2,Customer 7 reviewed product Jacket with a rating of 4,
278,7,99,1,Customer 7 reviewed product Portable Grill with a rating of 4,
279,1,101,4,Customer 1 reviewed product Billiards Table with a rating of 3,
280,1,88,1,Customer 1 reviewed product Hiking Boots with a rating of 4,
281,1,40,1,Customer 1 reviewed product Coffee Table with a rating of 2,
282,22,250,3,Customer 22 reviewed product Bookends with a rating of 5,
